id,image,back_camera,chips,id_api,liked,max_price,min_price,name,operational_system,rating,rating_number,screen_size,brand,type
8000,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-g-5-xt1672_600x600-PU9a0b9_1.jpg,13,Dual Chip,630969,0,1898,8090999755859370,Smartphone Motorola Moto G 5 XT1672,Android,9.2,192,5,Motorola,Smartphone
8001,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j5-sm-j500m_600x600-PU960bf_1.jpg,13,Dual Chip,614591,0,999989990234375,6151199951171870,Smartphone Samsung Galaxy J5 SM-J500M,Android,9,1182,5,Samsung,Smartphone
8002,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j7-prime-sm-g610m_600x600-PU9946d_1.jpg,13,Dual Chip,627821,0,14221400146484300,10219099731445300,Smartphone Samsung Galaxy J7 Prime SM-G610M,Android,9.2,309,5.5,Samsung,Smartphone
8003,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-s7-sm-g930-32gb_600x600-PU972f7_1.jpg,12,Single Chip,619255,1,3699,17779000244140600,Smartphone Samsung Galaxy S7 SM-G930 32GB,Android,9.4,161,5.1,Samsung,Smartphone
8004,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-s7-edge-sm-g935-32gb_600x600-PU972f9_1.jpg,12,Single Chip,619257,1,3699,21111201171875,Smartphone Samsung Galaxy S7 Edge SM-G935 32GB,Android,9.2,147,5.5,Samsung,Smartphone
8005,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-32gb_600x600-PU9845f_1.jpg,12,Single Chip,623711,0,351489990234375,30791201171875,Smartphone Apple iPhone 7 32GB,iOS,9.6,49,4.7,Apple,Smartphone
8006,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a5-sm-a520_600x600-PU99fe0_1.jpg,16,Dual Chip,630752,1,1799,13490999755859300,Smartphone Samsung Galaxy A5 SM-A520,Android,9.2,42,5.2,Samsung,Smartphone
8007,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-s8-sm-g950_600x600-PU9a486_1.jpg,12,NULL,631942,1,405589990234375,34834599609375,Smartphone Samsung Galaxy S8 SM-G950,Android,8.6,6,5.8,Samsung,Smartphone
8008,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-s8-plus-sm-g955_600x600-PU9a487_1.jpg,12,NULL,631943,1,4399,3831889892578120,Smartphone Samsung Galaxy S8+ Plus SM-G955,Android,9.2,5,6.2,Samsung,Smartphone
8009,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a5-sm-a510m_600x600-PU971cf_1.jpg,13,Dual Chip,618959,1,22450400390625,1098,Smartphone Samsung Galaxy A5 SM-A510M,Android,9,130,5.2,Samsung,Smartphone
8010,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j5-sm-j510m_600x600-PU97ef2_1.jpg,13,Dual Chip,622322,0,109997998046875,68552001953125,Smartphone Samsung Galaxy J5 SM-J510M,Android,9,110,5.2,Samsung,Smartphone
8011,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j7-sm-j710m_600x600-PU97f46_1.jpg,13,Dual Chip,622406,1,13299000244140600,7550999755859370,Smartphone Samsung Galaxy J7 SM-J710M,Android,9,93,5.5,Samsung,Smartphone
8012,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j2-prime-sm-g532m_600x600-PU994a1_1.jpg,8,Dual Chip,627873,0,8007000122070310,5403200073242180,Smartphone Samsung Galaxy J2 Prime SM-G532M,Android,8.4,72,5,Samsung,Smartphone
8013,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-128gb_600x600-PU98460_1.jpg,12,Single Chip,623712,0,39591201171875,34311201171875,Smartphone Apple iPhone 7 128GB,iOS,9.2,40,4.7,Apple,Smartphone
8014,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a7-sm-a720_600x600-PU99fe1_1.jpg,16,Dual Chip,630753,1,2044719970703120,14951199951171800,Smartphone Samsung Galaxy A7 SM-A720,Android,9.2,22,5.7,Samsung,Smartphone
8015,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k10-novo-m250_600x600-PU99f56_1.jpg,13,Dual Chip,630614,1,10551199951171800,6791500244140620,Smartphone LG K10 Novo M250,Android,8.8,21,5.3,LG,Smartphone
8016,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-plus-32gb_600x600-PU98462_1.jpg,12,Single Chip,623714,1,4099,36071201171875,Smartphone Apple iPhone 7 Plus 32GB,iOS,9.4,18,5.5,Apple,Smartphone
8017,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-5s-16gb_600x600-PU85fdd_1.jpg,8,Single Chip,548829,1,15489599609375,11483399658203100,Smartphone Apple iPhone 5S 16GB,iOS,9.4,1039,4,Apple,Smartphone
8018,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j7-sm-j700m_600x600-PU96349_1.jpg,13,Dual Chip,615241,0,13299000244140600,7820999755859370,Smartphone Samsung Galaxy J7 SM-J700M,Android,9.2,449,5.5,Samsung,Smartphone
8019,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-g-4-play-xt1603_600x600-PU977a7_1.jpg,8,Dual Chip,620455,1,6999000244140620,6151199951171870,Smartphone Motorola Moto G 4 Play XT1603,Android,8.8,215,5,Motorola,Smartphone
8020,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-g-5-plus-xt1683_600x600-PU9a0ba_1.jpg,12,Dual Chip,630970,1,1333199951171870,11041500244140600,Smartphone Motorola Moto G 5 Plus XT1683,Android,9,79,5.2,Motorola,Smartphone
8021,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-plus-128gb_600x600-PU98463_1.jpg,12,Single Chip,623715,1,4499,39591201171875,Smartphone Apple iPhone 7 Plus 128GB,iOS,8.8,19,5.5,Apple,Smartphone
8022,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-plus-256gb_600x600-PU98464_1.jpg,12,Single Chip,623716,0,4899,43111201171875,Smartphone Apple iPhone 7 Plus 256GB,iOS,8.8,14,5.5,Apple,Smartphone
8023,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-7-256gb_600x600-PU98461_1.jpg,12,Single Chip,623713,1,431197021484375,37831201171875,Smartphone Apple iPhone 7 256GB,iOS,10,9,4.7,Apple,Smartphone
8024,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k10-k430tv_600x600-PU972aa_1.jpg,13,Dual Chip,619178,0,9999000244140620,6151199951171870,Smartphone LG K10 K430TV,Android,9,331,5.3,LG,Smartphone
8025,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j1-mini-sm-j105_600x600-PU97425_1.jpg,5,Dual Chip,619557,0,549,29920001220703100,Smartphone Samsung Galaxy J1 Mini SM-J105,Android,8.4,155,4,Samsung,Smartphone
8026,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j1-sm-j120h_600x600-PU972b9_1.jpg,5,Dual Chip,619193,0,699,4491000061035150,Smartphone Samsung Galaxy J1 SM-J120H,Android,8.8,107,4.5,Samsung,Smartphone
8027,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lenovo-vibe-k6_600x600-PU99944_1.jpg,13,Dual Chip,629060,1,1199,7190999755859370,Smartphone Lenovo Vibe K6,NULL,8.8,58,5,Lenovo,Smartphone
8028,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lenovo-vibe-b_600x600-PU98449_1.jpg,5,Dual Chip,623689,0,4748999938964840,378,Smartphone Lenovo Vibe B,Android,8,53,4.5,Lenovo,Smartphone
8029,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-go-8gb_600x600-PU97b84_1.jpg,5,Dual Chip,621444,0,6151199951171870,47404998779296800,Smartphone Asus ZenFone Go 8GB,Android,8.2,48,4.5,Asus,Smartphone
8030,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a7-sm-a710m_600x600-PU971d0_1.jpg,13,Dual Chip,618960,1,218489990234375,1278,Smartphone Samsung Galaxy A7 SM-A710M,Android,8.8,41,5.5,Samsung,Smartphone
8031,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-6s-128gb_600x600-PU963c6_1.jpg,12,Single Chip,615366,0,3798,29911201171875,Smartphone Apple iPhone 6S 128GB,iOS,9,32,4.7,Apple,Smartphone
8032,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-x-style-k200_600x600-PU982bf_1.jpg,8,Dual Chip,623295,1,7599000244140620,599,Smartphone LG X Style K200,Android,8.8,24,5,LG,Smartphone
8033,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-s7-edge-sm-g935-128gb_600x600-PU99ea3_1.jpg,12,Single Chip,630435,1,3704050048828120,2299,Smartphone Samsung Galaxy S7 Edge SM-G935 128GB,Android,8.8,15,5.5,Samsung,Smartphone
8034,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-quantum-muv_600x600-PU980f9_1.jpg,13,NULL,622841,0,7599000244140620,4998999938964840,Smartphone Quantum MÃœV,Android,7.6,14,5.5,Quantum,Smartphone
8035,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-6s-32gb_600x600-PU985d3_1.jpg,12,Single Chip,624083,0,2999,26391201171875,Smartphone Apple iPhone 6S 32GB,iOS,9.6,13,4.7,Apple,Smartphone
8036,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-6s-plus-128gb_600x600-PU963cd_1.jpg,12,Single Chip,615373,0,3999,3499,Smartphone Apple iPhone 6S Plus 128GB,iOS,9.8,12,5.5,Apple,Smartphone
8037,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k4-novo-x230_600x600-PU9a2a6_1.jpg,8,Dual Chip,631462,0,6649000244140620,4831199951171870,Smartphone LG K4 Novo X230,Android,8,1,5,LG,Smartphone
8038,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-g-4-plus-xt1640_600x600-PU9779c_1.jpg,16,Dual Chip,620444,0,14249000244140600,108152001953125,Smartphone Motorola Moto G 4 Plus XT1640,Android,9,353,5.5,Motorola,Smartphone
8039,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-go-16gb_600x600-PU96647_1.jpg,8,Dual Chip,616007,0,8549000244140620,5989600219726560,Smartphone Asus ZenFone Go 16GB,Android,9,173,5,Asus,Smartphone
8040,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-3-ze520kl_600x600-PU98fbb_1.jpg,16,Dual Chip,626619,0,15289599609375,1333199951171870,Smartphone Asus ZenFone 3 ZE520KL,Android,9.4,148,5.2,Asus,Smartphone
8041,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-3-ze552kl_600x600-PU98fba_1.jpg,16,Dual Chip,626618,0,1799,16489599609375,Smartphone Asus ZenFone 3 ZE552KL,Android,9.8,143,5.5,Asus,Smartphone
8042,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-3-max-zc520tl_600x600-PU99065_1.jpg,13,Dual Chip,626789,0,1138949951171870,8090999755859370,Smartphone Asus ZenFone 3 Max ZC520TL,Android,9,57,5.2,Asus,Smartphone
8043,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-g5-se-h840_600x600-PU97301_1.jpg,16,NULL,619265,1,2781919921875,1599,Smartphone LG G5 SE H840,Android,7.6,25,5.3,LG,Smartphone
8044,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-se-16gb_600x600-PU974e7_1.jpg,12,Single Chip,619751,1,2699,17779000244140600,Smartphone Apple iPhone SE 16GB,iOS,9.6,25,4,Apple,Smartphone
8045,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-alcatel-pixi-4-6-8050_600x600-PU9763b_1.jpg,13,NULL,620091,0,699,4221000061035150,Smartphone Alcatel Pixi 4 (6) 8050,Android,7.8,21,6,Alcatel,Smartphone
8046,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-sony-xperia-xa_600x600-PU97aa0_1.jpg,13,Single Chip,621216,0,1199,8791199951171870,Smartphone Sony Xperia XA,Android,7.6,10,5,Sony,Smartphone
8047,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-alcatel-pop4-premium_600x600-PU980fc_1.jpg,13,Dual Chip,622844,1,7599000244140620,4998999938964840,Smartphone Alcatel POP4 Premium,Android,8.2,9,5,Alcatel,Smartphone
8048,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-sony-xperia-xa-ultra_600x600-PU98302_1.jpg,21.5,Single Chip,623362,0,20398299560546800,14231099853515600,Smartphone Sony Xperia XA Ultra,Android,9,8,6,Sony,Smartphone
8049,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-k10-power-m320tv_600x600-PU9a294_1.jpg,13,Dual Chip,631444,0,11871199951171800,9231199951171870,Smartphone LG K10 Power M320TV,Android,0,0,5.5,LG,Smartphone
8050,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-j3-sm-j320m_600x600-PU973dc_1.jpg,8,Dual Chip,619484,0,989,6020999755859370,Smartphone Samsung Galaxy J3 SM-J320M,Android,8.8,268,5,Samsung,Smartphone
8051,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-x-power-k220_600x600-PU982cd_1.jpg,13,Dual Chip,623309,0,9499000244140620,6500700073242180,Smartphone LG X Power K220,Android,9,103,5.3,LG,Smartphone
8052,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-motorola-moto-z-play-xt1635_600x600-PU985b4_1.jpg,16,NULL,624052,1,227989990234375,1499,Smartphone Motorola Moto Z Play XT1635,Android,9.6,96,5.5,Motorola,Smartphone
8053,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lenovo-vibe-k6-plus_600x600-PU99943_1.jpg,16,Dual Chip,629059,1,1099,9143200073242180,Smartphone Lenovo Vibe K6 Plus,NULL,9,25,5.5,Lenovo,Smartphone
8054,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-asus-zenfone-go-live_600x600-PU98118_1.jpg,13,Dual Chip,622872,0,7590499877929680,748,Smartphone Asus ZenFone Go Live,Android,8.8,24,5.5,Asus,Smartphone
8055,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-samsung-galaxy-a9-sm-a910_600x600-PU982cf_1.jpg,16,Dual Chip,623311,1,265989990234375,16489599609375,Smartphone Samsung Galaxy A9 SM-A910,Android,9.6,21,6,Samsung,Smartphone
8056,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-quantum-muv-pro_600x600-PU980f8_1.jpg,16,NULL,622840,1,10489599609375,5999000244140620,Smartphone Quantum MÃœV PRO,Android,7.8,12,5.5,Quantum,Smartphone
8057,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-lg-x-cam-k580_600x600-PU980fd_1.jpg,13,NULL,622845,0,11871199951171800,699,Smartphone LG X Cam K580,Android,9.8,9,5.2,LG,Smartphone
8058,http://thumbs.buscape.com.br/celular-e-smartphone/smartphone-apple-iphone-6s-plus-32gb_600x600-PU985d5_1.jpg,12,Single Chip,624085,1,3599,3099,Smartphone Apple iPhone 6S Plus 32GB,iOS,10,1,5.5,Apple,Smartphone
